traj_id,jdt_ref,utc,shower_no,shower_code,la_sun,lst_ref,ra_g,dec_g,L_g,B_g,v_g,L_h,B_h,v_h,a,e,i,peri,node,pi,b,q,true_anomaly,mean_anomaly,QQ,n,T,Tj,re_norot,dec_norot,azimuth_apparent_norot,elevation_apparent_norot,v_init,v_avg,rbeg_lat,rbeg_lon,rbeg_ele,rend_lat,rend_lon,rend_ele,duration,peak_mag,peak_ht,f_param,mass,Qc,mfe,fov_beg,fov_end,stations_num,Stations
20221023182509_2KLt6,2459876.267470178,2022-10-23 18:25:09.423436,2,STA,210.0154,326.318365,40.02982,9.04563,40.47678,-6.22294,23.29625,342.10039,-4.1639,34.77484,1.545587,0.719072,5.602799,110.329211,30.01256,140.341771,5.252798,0.434198,249.672771,335.487124,2.656976,0.512937,1.921502,4.120987,37.71971,11.82298,95.10771,21.35101,26.11112,25.91371,46.108363,17.879941,98.6239,46.125601,17.597078,89.9563,0.92,1.88,93.2094,0.625,4.85e-05,74.76,70.01,1,1,2,"HR0024,HU0002"
20221023183411_nuPB2,2459876.2737422087,2022-10-23 18:34:11.326834,-1,...,210.021647,313.74757,198.34891,71.97585,135.47433,65.67331,41.4635,283.18751,69.55379,40.32258,5.637293,0.825504,70.361563,167.155334,210.020997,17.176331,12.085871,0.983683,12.844252,0.698227,10.290904,0.073637,13.384636,1.318021,200.22825,72.77933,338.67446,41.71637,42.84123,42.51939,50.792628,3.044901,105.0771,50.699432,3.102146,95.0183,0.36,0.78,100.4459,0.46,2.17e-05,16.41,46.84,1,1,2,"BE0005,BE000B"
20221023183711_nDMag,2459876.275825716,2022-10-23 18:37:11.341870,-1,...,210.023722,314.480191,331.40396,-0.18093,333.36249,10.80565,8.90124,308.08681,2.5402,37.65866,2.429797,0.601258,2.565482,201.525539,210.031583,51.557121,-0.941044,0.968863,338.46583,355.638096,3.890731,0.260225,3.787526,3.232731,330.4311,9.94623,156.79263,46.61411,14.3173,13.80378,51.317202,3.025504,86.9896,51.40167,2.967456,76.0436,1.09,1.47,78.8572,0.743,0.000283,32.34,48.34,1,1,2,"BE0009,BE000B"
20221023183825_2uX2q,2459876.2766799214,2022-10-23 18:38:25.145212,-1,...,210.024573,316.169532,87.0068,63.11739,88.24152,39.69797,54.31223,43.95758,56.26893,41.71412,20.530865,0.965867,99.134045,246.530686,210.023719,96.554405,-64.909911,0.700787,293.468949,359.615492,40.360942,0.010595,93.027531,0.090135,86.25225,63.47005,23.30782,30.26257,55.53855,55.41672,50.249395,4.406808,98.9649,50.140927,4.334098,91.2045,0.28,-0.06,97.9867,0.126,1.53e-05,82.02,49.6,1,1,3,"BE0001,BE0003,BE000D"
20221023190133_gwB2Z,2459876.2927465406,2022-10-23 19:01:33.301110,-1,...,210.040575,321.546399,173.99589,71.25165,128.11168,58.80817,46.72741,273.98509,80.5382,40.52398,6.287743,0.842667,81.484886,170.944242,210.039875,20.984117,8.955109,0.989268,9.055431,0.417899,11.586219,0.062512,15.766775,1.002951,174.45986,72.06276,348.25272,34.7196,47.97561,47.08414,50.492471,3.983583,108.2245,50.38222,4.019446,99.421,0.32,1.09,102.7691,0.62,9.11e-06,67.97,34.36,1,1,2,"BE0005,BE000E"
20221023190619_wSb0e,2459876.296062009,2022-10-23 19:06:19.757573,-1,...,210.043877,322.684177,12.50581,37.93574,27.52292,29.74392,23.29115,333.8856,17.28953,38.88138,3.267262,0.793527,20.543793,254.198276,210.043948,104.242224,-19.734479,0.674603,285.800858,353.108294,5.85992,0.166889,5.905769,2.495861,11.42832,38.81753,89.59276,54.14362,25.98305,24.31409,50.366163,3.921029,85.7895,50.365694,3.826405,76.3801,0.51,0.45,81.9906,0.404,9.83e-05,86.87,29.85,1,1,5,"BE0003,BE0005,BE000D,BE000E,FR000X"
20221023192530_VC6Nr,2459876.3093832354,2022-10-23 19:25:30.711539,-1,...,210.057145,328.380657,262.23829,66.43819,178.73318,86.90457,24.08846,298.8055,39.40676,37.89027,2.552064,0.610291,39.413465,177.449511,210.056871,27.506382,1.619017,0.994564,2.550041,0.489007,4.109564,0.24175,4.076974,2.896404,267.10707,67.12331,320.91445,57.26835,26.42646,26.24612,52.017188,4.816726,92.7344,51.938466,4.920078,74.9932,0.85,0.13,86.0654,0.376,0.000226,58.61,38.13,1,1,3,"BE0006,NL0009,NL000K"
20221023192537_5pdx2,2459876.309458133,2022-10-23 19:25:37.182677,-1,...,210.057219,326.845739,298.78661,9.34348,303.10107,29.53332,10.4825,301.45946,7.53518,39.40511,3.84833,0.741642,7.53741,183.264193,210.058656,33.322849,-0.427948,0.994248,356.733676,359.674827,6.702411,0.130556,7.549341,2.496034,303.32394,16.54792,217.20399,50.75001,15.16006,14.29618,51.009192,3.25019,90.5071,51.116001,3.378763,72.0327,1.67,0.96,84.0576,0.349,0.000519,73.4,61.73,1,1,3,"BE0003,BE000B,BE000G"
20221023192851_msnz6,2459876.311705868,2022-10-23 19:28:51.387015,-1,...,210.059458,340.858279,346.33925,46.77753,11.99996,47.13084,18.94985,320.61599,20.9636,38.81988,3.210851,0.729788,22.253979,225.840725,210.058728,75.899453,-15.764909,0.867611,314.159292,354.62094,5.554092,0.171307,5.753484,2.61485,347.46531,46.65278,60.84457,84.81127,21.98994,21.70399,44.310171,16.451366,92.2551,44.303862,16.435556,76.2186,0.75,-0.36,83.3992,0.552,0.000499,48.21,57.02,1,1,2,"HR000K,HR0025"
20221023193129_m4XVg,2459876.313532931,2022-10-23 19:31:29.245221,-1,...,210.061279,330.093803,326.01034,-10.7175,324.64768,2.74312,7.15518,305.46166,0.53634,36.60862,2.002119,0.509593,0.53871,196.01571,210.089295,46.105005,-0.148629,0.981854,343.955683,355.475478,3.022383,0.347912,2.832927,3.666675,328.24706,4.40779,182.48126,42.08262,13.21265,12.79298,52.31197,5.028218,78.1654,52.394489,5.033969,69.7795,1.09,0.91,74.9009,0.389,0.0005,85.39,77.54,1,1,3,"BE0002,NL0006,NL0009"
